inicio de conexion;cliente1; 1688921424
inicio de conexion;cliente2; 1688921425
inicio de conexion;cliente3; 1688921427
2a4533ee-1e79-11ee-a424-557cb373497c; 1688921624; buscar por categorias; ini; 1688921624; cliente3; 1688921624
2a4533ee-1e79-11ee-a424-557cb373497c; 1688921624; buscar por categorias; fin; 1688921624; cliente3; 1688921624
2a44a9e2-1e79-11ee-a424-557cb373497c; 1688921624; buscar por categorias; ini; 1688921625; cliente2; 1688921625
2a44a9e2-1e79-11ee-a424-557cb373497c; 1688921624; buscar por categorias; fin; 1688921625; cliente2; 1688921625
2c70d218-1e79-11ee-a424-557cb373497c; 1688921628; buscar por categorias; ini; 1688921628; cliente2; 1688921628
2c70d218-1e79-11ee-a424-557cb373497c; 1688921628; buscar por categorias; fin; 1688921628; cliente2; 1688921628
2c6feb50-1e79-11ee-a424-557cb373497c; 1688921628; buscar por categorias; ini; 1688921628; cliente1; 1688921628
2c6feb50-1e79-11ee-a424-557cb373497c; 1688921628; buscar por categorias; fin; 1688921628; cliente1; 1688921628
2c71c312-1e79-11ee-a424-557cb373497c; 1688921628; buscar por categorias; ini; 1688921628; cliente3; 1688921628
2c71c312-1e79-11ee-a424-557cb373497c; 1688921628; buscar por categorias; fin; 1688921628; cliente3; 1688921628
2e5bace2-1e79-11ee-a424-557cb373497c; 1688921631; buscar por categorias; ini; 1688921631; cliente1; 1688921631
2e5bace2-1e79-11ee-a424-557cb373497c; 1688921631; buscar por categorias; fin; 1688921631; cliente1; 1688921631
2e5d2dec-1e79-11ee-a424-557cb373497c; 1688921631; buscar por categorias; ini; 1688921631; cliente3; 1688921631
2e5d2dec-1e79-11ee-a424-557cb373497c; 1688921631; buscar por categorias; fin; 1688921631; cliente3; 1688921631
2e5cafd4-1e79-11ee-a424-557cb373497c; 1688921631; buscar por categorias; ini; 1688921632; cliente2; 1688921632
2e5cafd4-1e79-11ee-a424-557cb373497c; 1688921631; buscar por categorias; fin; 1688921632; cliente2; 1688921632
307cbd40-1e79-11ee-a424-557cb373497c; 1688921634; buscar por categorias; ini; 1688921634; cliente3; 1688921634
307cbd40-1e79-11ee-a424-557cb373497c; 1688921634; buscar por categorias; fin; 1688921634; cliente3; 1688921634
307bd8bc-1e79-11ee-a424-557cb373497c; 1688921634; buscar por categorias; ini; 1688921635; cliente2; 1688921635
307bd8bc-1e79-11ee-a424-557cb373497c; 1688921634; buscar por categorias; fin; 1688921635; cliente2; 1688921635
307b3a9c-1e79-11ee-a424-557cb373497c; 1688921634; buscar por categorias; ini; 1688921635; cliente1; 1688921635
307b3a9c-1e79-11ee-a424-557cb373497c; 1688921634; buscar por categorias; fin; 1688921635; cliente1; 1688921635
331f17b4-1e79-11ee-a424-557cb373497c; 1688921639; buscar por categorias; ini; 1688921639; cliente1; 1688921639
331f17b4-1e79-11ee-a424-557cb373497c; 1688921639; buscar por categorias; fin; 1688921639; cliente1; 1688921639
3320e440-1e79-11ee-a424-557cb373497c; 1688921639; buscar por categorias; ini; 1688921639; cliente3; 1688921639
3320e440-1e79-11ee-a424-557cb373497c; 1688921639; buscar por categorias; fin; 1688921639; cliente3; 1688921639
33200e30-1e79-11ee-a424-557cb373497c; 1688921639; buscar por categorias; ini; 1688921640; cliente2; 1688921640
33200e30-1e79-11ee-a424-557cb373497c; 1688921639; buscar por categorias; fin; 1688921640; cliente2; 1688921640
3684fc0c-1e79-11ee-a424-557cb373497c; 1688921644; buscar por categorias; ini; 1688921645; cliente2; 1688921645
3684fc0c-1e79-11ee-a424-557cb373497c; 1688921644; buscar por categorias; fin; 1688921645; cliente2; 1688921645
36847d9a-1e79-11ee-a424-557cb373497c; 1688921644; buscar por categorias; ini; 1688921645; cliente1; 1688921645
36847d9a-1e79-11ee-a424-557cb373497c; 1688921644; buscar por categorias; fin; 1688921645; cliente1; 1688921645
3685dbf4-1e79-11ee-a424-557cb373497c; 1688921644; buscar por categorias; ini; 1688921645; cliente3; 1688921645
3685dbf4-1e79-11ee-a424-557cb373497c; 1688921644; buscar por categorias; fin; 1688921645; cliente3; 1688921645
389902cc-1e79-11ee-a424-557cb373497c; 1688921648; buscar por categorias; ini; 1688921648; cliente1; 1688921648
389902cc-1e79-11ee-a424-557cb373497c; 1688921648; buscar por categorias; fin; 1688921648; cliente1; 1688921648
389b1bac-1e79-11ee-a424-557cb373497c; 1688921648; buscar por categorias; ini; 1688921648; cliente3; 1688921648
389b1bac-1e79-11ee-a424-557cb373497c; 1688921648; buscar por categorias; fin; 1688921648; cliente3; 1688921648
389a4eca-1e79-11ee-a424-557cb373497c; 1688921648; buscar por categorias; ini; 1688921649; cliente2; 1688921649
389a4eca-1e79-11ee-a424-557cb373497c; 1688921648; buscar por categorias; fin; 1688921649; cliente2; 1688921649
3a6a0ed4-1e79-11ee-a424-557cb373497c; 1688921651; buscar por categorias; ini; 1688921651; cliente1; 1688921651
3a6a0ed4-1e79-11ee-a424-557cb373497c; 1688921651; buscar por categorias; fin; 1688921651; cliente1; 1688921651
3a6b7ee0-1e79-11ee-a424-557cb373497c; 1688921651; buscar por categorias; ini; 1688921651; cliente3; 1688921651
3a6b7ee0-1e79-11ee-a424-557cb373497c; 1688921651; buscar por categorias; fin; 1688921651; cliente3; 1688921651
